Districts,Price m²,Year,,,,
Portalegre,"3,4 €/m2",2016,,,,
Porto,"8,1 €/m2",2016,,,,
Santarém,"3,5 €/m2",2016,,,,
Setúbal,"5,3 €/m2",2016,,,,
Viana do Castelo,"4,0 €/m2",2016,,,,
Vila Real,"3,6 €/m2",2016,,,,
Viseu,"3,2 €/m2",2016,,,,
Aveiro,"3,9 €/m2",2015,,,,
Beja,"4,2 €/m2",2015,,,,
Braga,"3,5 €/m2",2015,,,,
Castelo Branco,"3,1 €/m2",2015,,,,
Coimbra,"4,5 €/m2",2015,,,,
Évora,"5,5 €/m2",2015,,,,
Faro,"5,3 €/m2",2015,,,,
Leiria,"3,7 €/m2",2015,,,,
Lisboa,"7,6 €/m2",2015,,,,
Madeira (Ilha),"4,9 €/m2",2015,,,,
Portalegre,"3,3 €/m2",2015,,,,
Porto,"5,3 €/m2",2015,,,,
Santarém,"3,4 €/m2",2015,,,,
Setúbal,"4,8 €/m2",2015,,,,
Viana do Castelo,"4,2 €/m2",2015,,,,
Vila Real,"3,4 €/m2",2015,,,,
Viseu,"3,6 €/m2",2015,,,,
