Districts,Price m²,Year,,,,
Santarém,759 €/m2,2019,,,,
São Miguel (ilha),966 €/m2,2019,,,,
Setúbal,1.532 €/m2,2019,,,,
Terceira (Ilha),827 €/m2,2019,,,,
Viana do Castelo,976 €/m2,2019,,,,
Vila Real,733 €/m2,2019,,,,
Viseu,758 €/m2,2019,,,,
Aveiro,994 €/m2,2018,,,,
Beja,793 €/m2,2018,,,,
Braga,911 €/m2,2018,,,,
Bragança,688 €/m2,2018,,,,
Castelo Branco,668 €/m2,2018,,,,
Coimbra,996 €/m2,2018,,,,
Évora,847 €/m2,2018,,,,
Faial (Ilha),954 €/m2,2018,,,,
Faro,2.032 €/m2,2018,,,,
Guarda,656 €/m2,2018,,,,
Leiria,1.054 €/m2,2018,,,,
Lisboa,2.919 €/m2,2018,,,,
Madeira (Ilha),1.442 €/m2,2018,,,,
Pico (Ilha),900 €/m2,2018,,,,
Portalegre,788 €/m2,2018,,,,
Porto,1.632 €/m2,2018,,,,
Porto Santo (Ilha),1.148 €/m2,2018,,,,
Santarém,770 €/m2,2018,,,,
São Miguel (ilha),914 €/m2,2018,,,,
Setúbal,1.320 €/m2,2018,,,,
Terceira (Ilha),842 €/m2,2018,,,,
Viana do Castelo,999 €/m2,2018,,,,
Vila Real,749 €/m2,2018,,,,
Viseu,735 €/m2,2018,,,,
Aveiro,880 €/m2,2017,,,,
Beja,779 €/m2,2017,,,,
Braga,800 €/m2,2017,,,,
Bragança,686 €/m2,2017,,,,
Castelo Branco,667 €/m2,2017,,,,
Coimbra,1.009 €/m2,2017,,,,
Évora,889 €/m2,2017,,,,
Faial (Ilha),766 €/m2,2017,,,,
Faro,1.777 €/m2,2017,,,,
Guarda,636 €/m2,2017,,,,
Leiria,919 €/m2,2017,,,,
Lisboa,2.568 €/m2,2017,,,,
Madeira (Ilha),1.293 €/m2,2017,,,,
Pico (Ilha),822 €/m2,2017,,,,
Portalegre,722 €/m2,2017,,,,
Porto,1.299 €/m2,2017,,,,
Porto Santo (Ilha),1.383 €/m2,2017,,,,
Santarém,734 €/m2,2017,,,,
São Miguel (ilha),946 €/m2,2017,,,,
Setúbal,1.153 €/m2,2017,,,,
Terceira (Ilha),896 €/m2,2017,,,,
Viana do Castelo,924 €/m2,2017,,,,
Vila Real,768 €/m2,2017,,,,
Viseu,747 €/m2,2017,,,,
Aveiro,813 €/m2,2016,,,,
Beja,770 €/m2,2016,,,,
Braga,735 €/m2,2016,,,,
Bragança,701 €/m2,2016,,,,
Castelo Branco,674 €/m2,2016,,,,
Coimbra,1.006 €/m2,2016,,,,
Évora,908 €/m2,2016,,,,
Faial (Ilha),744 €/m2,2016,,,,
Faro,1.547 €/m2,2016,,,,
Guarda,616 €/m2,2016,,,,
Leiria,879 €/m2,2016,,,,
Lisboa,1.955 €/m2,2016,,,,
Madeira (Ilha),1.195 €/m2,2016,,,,
Portalegre,601 €/m2,2016,,,,
Porto,1.081 €/m2,2016,,,,
Porto Santo (Ilha),1.124 €/m2,2016,,,,
Santarém,735 €/m2,2016,,,,
São Miguel (ilha),850 €/m2,2016,,,,
Setúbal,1.026 €/m2,2016,,,,
Terceira (Ilha),925 €/m2,2016,,,,
Viana do Castelo,948 €/m2,2016,,,,
Vila Real,826 €/m2,2016,,,,
Viseu,733 €/m2,2016,,,,
Aveiro,819 €/m2,2015,,,,
Beja,845 €/m2,2015,,,,
Braga,745 €/m2,2015,,,,
Bragança,662 €/m2,2015,,,,
Castelo Branco,713 €/m2,2015,,,,
Coimbra,1.133 €/m2,2015,,,,
Évora,869 €/m2,2015,,,,
Faro,1.466 €/m2,2015,,,,
Guarda,688 €/m2,2015,,,,
Leiria,869 €/m2,2015,,,,
Lisboa,1.509 €/m2,2015,,,,
Madeira (Ilha),1.164 €/m2,2015,,,,
Portalegre,661 €/m2,2015,,,,
Porto,975 €/m2,2015,,,,
Porto Santo (Ilha),1.081 €/m2,2015,,,,
Santarém,732 €/m2,2015,,,,
São Miguel (ilha),812 €/m2,2015,,,,
Setúbal,968 €/m2,2015,,,,
Terceira (Ilha),956 €/m2,2015,,,,
Viana do Castelo,945 €/m2,2015,,,,
Vila Real,792 €/m2,2015,,,,
Viseu,744 €/m2,2015,,,,
